,0
1448,2017-10-06
1449,2017-10-09
1450,2017-10-10
1451,2017-10-11
1452,2017-10-12
1453,2017-10-13
1454,2017-10-16
1455,2017-10-17
1456,2017-10-18
1457,2017-10-19
1458,2017-10-20
1459,2017-10-23
1460,2017-10-24
1461,2017-10-25
1462,2017-10-26
1463,2017-10-27
1464,2017-10-30
1465,2017-10-31
1466,2017-11-01
1467,2017-11-02
1468,2017-11-03
1469,2017-11-06
1470,2017-11-07
1471,2017-11-08
1472,2017-11-09
1473,2017-11-10
1474,2017-11-13
1475,2017-11-14
1476,2017-11-15
1477,2017-11-16
1478,2017-11-17
1479,2017-11-20
1480,2017-11-21
1481,2017-11-22
1482,2017-11-24
1483,2017-11-27
1484,2017-11-28
1485,2017-11-29
1486,2017-11-30
1487,2017-12-01
1488,2017-12-04
1489,2017-12-05
1490,2017-12-06
1491,2017-12-07
1492,2017-12-08
1493,2017-12-11
1494,2017-12-12
1495,2017-12-13
1496,2017-12-14
